Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-c9te,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,chosen face,not chosen face,rand_male_face1,rand_male_face2,rand_male_face3,rand_male_face4,rand_male_face5,rand_male_face6,rand_male_face7,rand_male_face8,image_male,Participant_preference,face_rating,random number,fixation_times
9,1590493146108,26/05/2020 11:39:06,1590493145751,1,26/05/2020 12:39:05,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,15,grey7,Zone1,continue_button,505.49000001046807,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Benjamin_Raynor_17_oval.jpg,Beverly_Nigro_19_oval.jpg,Google_1_Claire Dickerson_13_oval.jpg,Google_1_Kevin Northrup_9_oval.jpg,Google_1_Jesse Tompkins_72_oval.jpg,Google_1_Kathleen Wittman_13_oval.jpg,Google_1_Curtis Wegner_16_oval.jpg,Google_1_Jason Hershey_19_oval.jpg,,,,,
10,1590493147411,26/05/2020 11:39:07,1590493147046,1,26/05/2020 12:39:07,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,16,congratulations,rating19,response_rating_scale_likert_active,1183.43500001356,7,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Benjamin_Raynor_17_oval.jpg,Beverly_Nigro_19_oval.jpg,Google_1_Claire Dickerson_13_oval.jpg,Google_1_Kevin Northrup_9_oval.jpg,Google_1_Jesse Tompkins_72_oval.jpg,Google_1_Kathleen Wittman_13_oval.jpg,Google_1_Curtis Wegner_16_oval.jpg,Google_1_Jason Hershey_19_oval.jpg,,,,,
11,1590493149197,26/05/2020 11:39:09,1590493148845,1,26/05/2020 12:39:08,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,1,option1,choice,response_button_image,1471.060000010766,Google_1_John Felker_3_oval.jpg,1,1,0,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
12,1590493149884,26/05/2020 11:39:09,1590493149525,1,26/05/2020 12:39:09,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,9,grey1,Zone1,continue_button,654.3050000327639,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
13,1590493150087,26/05/2020 11:39:10,1590493149726,1,26/05/2020 12:39:09,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,10,grey2,Zone1,continue_button,178.03499998990446,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
14,1590493150275,26/05/2020 11:39:10,1590493149919,1,26/05/2020 12:39:09,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,11,grey3,Zone1,continue_button,176.25499999849126,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
15,1590493150494,26/05/2020 11:39:10,1590493150126,1,26/05/2020 12:39:10,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,12,grey4,Zone1,continue_button,187.99000000581145,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
16,1590493150650,26/05/2020 11:39:10,1590493150303,1,26/05/2020 12:39:10,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,13,grey5,Zone1,continue_button,157.839999999851,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
17,1590493150822,26/05/2020 11:39:10,1590493150471,1,26/05/2020 12:39:10,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,14,grey6,Zone1,continue_button,151.06999996351078,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
18,1590493151275,26/05/2020 11:39:11,1590493150925,1,26/05/2020 12:39:10,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,15,grey7,Zone1,continue_button,438.24000004678965,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
