Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-c9te,Question Key,Response
1,1591979842733,12/06/2020 16:37:22,1591979842888,-4,12/06/2020 12:37:22,17411,6,questionnaire-7am2,,5579796,A1GRPIBHW72HDU,1557738,,complete,aqqsyb,,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1536x864,1345x712,,Male sequence instructions,7,Male,BEGIN QUESTIONNAIRE,
2,1591979864770,12/06/2020 16:37:44,1591979864940,-4,12/06/2020 12:37:44,17411,6,questionnaire-7am2,,5579796,A1GRPIBHW72HDU,1557738,,complete,aqqsyb,,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1536x864,1345x712,,Male sequence instructions,7,Male,END QUESTIONNAIRE,22052
1,1591952430110,12/06/2020 09:00:30,1591952430008,2,12/06/2020 11:00:30,17411,6,questionnaire-7am2,,5573266,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Male sequence instructions,7,Male,BEGIN QUESTIONNAIRE,
2,1591952433589,12/06/2020 09:00:33,1591952433545,2,12/06/2020 11:00:33,17411,6,questionnaire-7am2,,5573266,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Male sequence instructions,7,Male,END QUESTIONNAIRE,3537
1,1590493125001,26/05/2020 11:38:45,1590493124579,1,26/05/2020 12:38:44,17411,6,questionnaire-7am2,,5141155,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence instructions,7,Male,BEGIN QUESTIONNAIRE,
2,1590493139739,26/05/2020 11:38:59,1590493139345,1,26/05/2020 12:38:59,17411,6,questionnaire-7am2,,5141155,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence instructions,7,Male,END QUESTIONNAIRE,14766
END OF FILE
