,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t,0.36323325384331434,0.007002863165101126,0.3495886649131904,0.35861329306873324,0.36333940565340284,0.36793628061701195,0.37727963492029426,0.0001102726639653952
a_Intercept,2.3901700767161533,0.02693638763036995,2.337677024886908,2.371926143921123,2.3897243498448977,2.408003576284369,2.443954661722511,0.00048592210272862683
a_factor_6,0.0029416642058770885,0.02758586422582377,-0.0495190531749734,-0.015428722061797344,0.0028089489951031235,0.021554681705697215,0.05795312961297065,0.0004577087854449067
v_Intercept,0.9052385185892147,0.02042364450948674,0.8656674466204383,0.8918132136833695,0.9050959329949657,0.918998565117439,0.9462507444969404,0.0003169825168625742
v_factor_6,-0.1435691004916147,0.029524549111816036,-0.200831977776317,-0.1630433212323777,-0.14340371466104493,-0.12400157494536583,-0.08566021812623603,0.00042747932748938677
