,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t,0.37263625292415276,0.006504359638795218,0.35935323143674464,0.368300939396634,0.37271549176050733,0.37703762067156754,0.3854019913468699,9.326958325974691e-05
a_Intercept,2.371432278365151,0.02610426625225791,2.322103276977805,2.3536360539531,2.3711062061526516,2.389006751582793,2.4237584076932333,0.00039207509714564377
a_factor_4,0.26641786718112104,0.025934036660609547,0.21419748155094662,0.24938281979941368,0.2670033470261285,0.2843096176247264,0.31530026327529836,0.000391335811415507
v_Intercept,0.9102722911566411,0.020465444851900907,0.8708332716561304,0.8966184304771485,0.9100286514486606,0.9240824103120341,0.9521647909429692,0.000362340781494994
v_factor_4,-0.0384582399305861,0.027411728444176952,-0.09265221001639874,-0.056947742321029456,-0.038497658396565965,-0.019189248303658882,0.015266144776003271,0.00043283486713571967
