,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t,0.362611494767399,0.006959785774173022,0.3487545669357433,0.3578949100497983,0.3627066838785928,0.36737719162549315,0.3755579364258836,0.00012147945248026869
a_Intercept,2.388374227043179,0.027139213568536366,2.3357433216028256,2.369317438050631,2.388780639819108,2.4064465086291413,2.4421104752592777,0.000490980684580668
a_factor_0,0.005671570533345794,0.021253594533735848,-0.03464989150102664,-0.008846720799798532,0.005351194341449914,0.019327353173021672,0.04956157757693931,0.0003354572615564798
v_Intercept,0.9026060737475733,0.02023971790713847,0.8630665337783344,0.889026571994544,0.9029707921464623,0.9163718755987456,0.9421522140265689,0.0003562241844411247
v_factor_0,0.07610398950188224,0.023130834076510474,0.0322627489883603,0.06046296120927741,0.07613248578624399,0.09140809458180921,0.12240885400011105,0.0004230762703223234
