,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t,0.3637232612103381,0.007120902777103479,0.34924554049989526,0.359119930844145,0.36384372004341337,0.3685582909331787,0.37776630404459877,0.00011296598524826958
a_Intercept,2.384173961301829,0.026095023027262847,2.331884173381982,2.3670268045462377,2.383845123057204,2.4011391625543532,2.4361393734291763,0.0004158277201310416
a_factor_2,-0.025366472668598736,0.020679747351204463,-0.06604575184766312,-0.03903680136500981,-0.024836234844156226,-0.011585478915891498,0.014866498254896984,0.00031224006305989127
v_Intercept,0.8995076049471238,0.019899867402938153,0.8603106076205015,0.8862183190668835,0.8990974203830053,0.9132917178163618,0.9383813685089627,0.00034578801191316076
v_factor_2,-0.01787912787799895,0.020326082948481806,-0.05778772841334084,-0.03127989073949531,-0.01794037136025199,-0.004198073586054299,0.02173974008779514,0.00035325766378797055
