,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t,0.3641491758921281,0.00706533732178772,0.3504722410198873,0.3593070212460561,0.36422247277686753,0.3689274642854937,0.3778218699060597,0.00010747953133935651
a_Intercept,2.383340975334903,0.026966775113226083,2.331581485043479,2.3648709721975725,2.3825331670816308,2.40116337295048,2.4372789432522897,0.0003718682233226642
a_factor_3,0.09172913945274391,0.022684869272677845,0.04722159799907867,0.07620968452364395,0.09160262726132073,0.10666937329619483,0.13644872958614251,0.0003489489503359867
v_Intercept,0.9006941060420088,0.02021442935796976,0.8611283758900183,0.8868871682497859,0.900799175532802,0.9143577906471748,0.9410796951749515,0.0003115966720216068
v_factor_3,0.013695586006539582,0.024115561363285045,-0.03315299510139356,-0.0021964465041987152,0.013656783554434022,0.02968784488114149,0.06069224843026312,0.00039166415872851694
