,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t,0.37274833027256166,0.006435767906739899,0.35990362976058066,0.36847198317909874,0.37288999724472466,0.3772164695629613,0.3848599739415106,0.00011030670398105998
a_Intercept,2.4069570398064446,0.026870567221018483,2.355047188749542,2.388818397186689,2.4068714590852105,2.4246056748758726,2.4599369656525334,0.0004001546778662742
a_factor_1,-0.16880463041165708,0.022260839227993934,-0.21329108777427327,-0.18382522087966427,-0.16847496711712148,-0.15388973291588687,-0.12436831702178171,0.00041479158734235706
v_Intercept,0.946463368105186,0.021114789991628836,0.9055011669728137,0.9322578083790797,0.9467048837466736,0.9606098104369954,0.9883194218342055,0.00036327580058957476
v_factor_1,0.2904387194826275,0.021099133913069775,0.24912743388494146,0.2758614947499287,0.2909112924260608,0.3044280812851504,0.3332944934950558,0.0003284271786928736
