,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t,0.37117096444824754,0.007680852224185143,0.3556358999936671,0.36597384596686394,0.37123277344263117,0.3765538783028085,0.385651460877384,0.00013158008419763442
a_Intercept,2.404341604655001,0.028251530439369593,2.3514930972457266,2.3850679052701707,2.403145278086901,2.422819556275788,2.462750827294978,0.000448401720088612
a_factor_5,-0.11000339592234468,0.026753021906572354,-0.16209141364290147,-0.1284271848516701,-0.1103476466157984,-0.09281128268595962,-0.05547640265501248,0.0004827744750894692
v_Intercept,0.9298922860135788,0.021029587615019375,0.8882015815349824,0.9160057869210797,0.9297097379437095,0.9438323354378035,0.9710490355188689,0.0003102687914175972
v_factor_5,0.3250606420691009,0.02530194421241787,0.2755022877876999,0.3077176807808263,0.32495937508809625,0.3427440551085539,0.3752131919181758,0.0003889558245193377
