subname_turk,subnum_J,subname_J,age,gender,language,education,religion,crtFamiliarity,verbalReasoning,wordSum,crt,intuitive,cape,pdiTotal,pdiDichot,beadsDraws,la_bead,adj_3,adj_6,adj_9,overAdjust,ipr,pr,bade,evidenceInt,evidIntImp,bace,posResp,la_bade,attempts,unchanged_bade,unchanged_bead,checks_passed,inattentive,unresponsive,dospert,samples,ranks
A39FJ7RWX4B9JZ,641,y35bGpKCnMn5iu5zy0,43,0,1,2,0,3,.5,.857142857,.285714286,.428571429,0,0,0,11,60,0,-1,0,-1,50,1,-.50125,.44,.54375,.25,3.7575,.2925,0,0,0,3,0,0,72,7.83333333333333,5.25
A39ROW50DWRRKT,533,Y55VP9X5nMnRxSKzCB,35,1,1,2,0,5,0,.714285714,0,.571428571,0,0,0,4,85,-24,8,-29,-45,63,30.5,-.6475,.08125,.44,.305,4.20625,.23375,0,0,0,3,0,0,76,7,4.08333333333333
A3A82EHCZOQ2CV,488,fA5x3SDLnMnMXoLz2V,25,1,1,3,100,1,0,.142857143,.428571429,.571428571,1,22,2,8,98,0,0,0,0,38,13,-.24625,.6075,.77125,.3325,3.09625,.47375,0,0,0,3,0,0,140,2,5.83333333333333
A3B9OZQTE4US3T,278,9R5Y7gKGnMnnympzyC,40,1,1,3,0,3,0,.714285714,.428571429,.285714286,0,0,0,3,20,-6,-5,-4,-15,68,18,-.57,.3875,.6175,.2325,4.16625,.38625,1,1,0,2,0,0,67,4.5,6.5
A3BTV0RLP0LTO8,361,kC5yfJI9nMnYumhzOP,45,0,1,3,100,4,.75,.642857143,.571428571,.428571429,0,42,4,14,88,0,0,0,0,50,1,-.705,-.45,.2575,.28625,3.4675,.23375,1,0,0,3,0,0,67,6.66666666666667,5.33333333333333
A3BUDBPUB2XP1Z,738,sU5ySVc9nMnmniXz7N,29,1,1,1,10,5,.75,.714285714,1,0,4,61,6,11,92,0,0,0,0,70,12.5,-.29125,1.22,.98375,.2175,4.61875,.42375,0,0,0,3,0,0,118,4.33333333333333,6.5
A3D2U4QF7821ZW,905,fp5VkadJnMnSfCHzF0,25,0,1,3,5,5,1,.642857143,.857142857,.142857143,3,35,4,11,82,-7,-6,-6,-19,58,0,-.41875,.685,.72875,.2825,4.46,.3025,0,0,0,3,0,0,81,5.83333333333333,6.08333333333333
A3D6ZYZ7D857AM,376,bE5C5WJOnMnhst7zS8,32,1,1,2,100,4,1,.857142857,.857142857,.142857143,0,32,4,13,81,0,0,0,0,50.5,25.5,-.6525,-.5575,.16125,.4525,3.275,.1525,0,0,0,3,0,0,80,5.66666666666667,6.5
A3DHV1UZ8VQI41,169,lL56vvhtnMnMw7xzUa,18,1,1,1,1,4,.75,.571428571,1,0,0,12,2,9,99,8,0,12,20,53.5,13.5,-.51875,.0075,.39625,.44,3.20375,.2575,0,0,0,3,0,0,110,4.66666666666667,6.83333333333333
A3DKYNYN50FYFY,89,i55TwqwLnMnksbuzge,25,1,1,3,100,5,1,1,1,0,4,71,7,8,55,-2,-2,-1,-5,53.5,.5,-.4875,.22625,.4925,.18375,4.1925,.23875,0,0,0,3,0,0,146,4.66666666666667,6.16666666666667
